Level of study?,Age?,Used smartphone/computer/laptop previously before online class?,Result increased after online education  (comparatively)?,Knowledge increased after online education (comparatively)?,Happy with online education?,Education Institute Area?,Have Internet availability?,Broadband / Mobile Internet?,Total hours of study before online education?,Total hours of study after online education?,Class performance increased in online education?,Institute Type,Current location (During Study) ?,Gender,Faced any issue with online class?,Preferred device for an online course
Hons or Grater,23,Yes,Yes,No,Yes,Urban,No,Broadband,4,3,Yes,Public,Rural,Female,Yes,Mobile
Hons or Grater,21,Yes,No,Yes,No,Urban,No,Broadband,4,3,No,Public,Urban,Female,No,Computer
Hons or Grater,24,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,4,Yes,Private,Rural,Male,Yes,Computer
Hons or Grater,23,Yes,No,Yes,No,Urban,No,Broadband,3,4,Yes,Public,Urban,Male,Yes,Mobile
Hons or Grater,24,Yes,No,No,Yes,Urban,No,Mobile Internet,3,4,No,Private,Rural,Female,No,Mobile
Hons or Grater,23,Yes,Yes,No,Yes,,No,Broadband,5,4,No,,Rural,Female,No,Computer
Upto HSC,21,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,4,3,No,Private,Urban,Male,Yes,Computer
Hons or Grater,23,No,No,No,No,,No,Broadband,5,4,No,Private,Urban,Female,Yes,Computer
Hons or Grater,22,Yes,No,No,Yes,Urban,No,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Computer
Upto HSC,18,No,Yes,No,No,Rural,Yes,Mobile Internet,6,4,No,Public,,Male,No,Computer
Hons or Grater,21,Yes,No,Yes,Yes,Rural,No,Mobile Internet,5,3,Yes,Private,Rural,Female,Yes,Computer
Upto HSC,23,Yes,No,No,Yes,Urban,No,Mobile Internet,3,3,Yes,Public,Urban,Male,Yes,Mobile
Upto HSC,26,Yes,No,No,No,Urban,No,Mobile Internet,5,4,No,Private,Rural,,Yes,Mobile
Upto HSC,22,Yes,No,No,Yes,Urban,No,Mobile Internet,3,4,Yes,Public,,Female,No,Computer
Upto HSC,18,Yes,No,No,No,Urban,No,Mobile Internet,6,4,Yes,Private,Rural,Male,Yes,Computer
Upto HSC,21,Yes,Yes,No,No,Urban,No,Broadband,5,3,Yes,Public,Urban,Female,,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,4,No,Private,Urban,Male,Yes,Mobile
Hons or Grater,24,Yes,No,No,No,Urban,No,Broadband,3,3,No,Private,Urban,,,Computer
Hons or Grater,26,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,Public,Rural,Male,No,Computer
Hons or Grater,22,Yes,No,Yes,No,Rural,No,Mobile Internet,6,3,Yes,Private,Urban,Female,Yes,Computer
Hons or Grater,23,Yes,No,No,No,Rural,No,Broadband,5,2,No,Private,Rural,Female,Yes,Mobile
Hons or Grater,26,Yes,Yes,No,No,Urban,No,Mobile Internet,4,2,No,Public,Rural,Male,No,Mobile
Upto HSC,21,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,3,No,Private,,Female,Yes,Mobile
Upto HSC,26,Yes,No,No,No,Urban,No,Mobile Internet,4,2,No,Public,Urban,Female,Yes,Computer
Hons or Grater,25,Yes,Yes,No,No,Urban,No,Broadband,5,3,Yes,Private,Urban,Male,No,Mobile
Hons or Grater,26,Yes,Yes,No,Yes,Rural,No,Broadband,4,2,No,Private,Rural,Female,No,Computer
Hons or Grater,22,Yes,No,No,Yes,Urban,No,Broadband,4,3,Yes,Private,Urban,Male,No,Mobile
Upto HSC,24,Yes,No,No,No,Urban,No,Broadband,6,3,Yes,Private,Urban,Male,Yes,Computer
Hons or Grater,23,Yes,No,Yes,No,Urban,No,Mobile Internet,4,3,No,Public,Rural,Female,No,Computer
Hons or Grater,25,Yes,No,No,Yes,Urban,No,Mobile Internet,4,3,No,Private,Rural,Female,No,Computer
Hons or Grater,25,Yes,Yes,No,Yes,Urban,No,Mobile Internet,4,4,No,Public,Urban,Male,Yes,Computer
Upto HSC,21,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,Private,Urban,Female,,Mobile
Upto HSC,22,Yes,No,No,No,Rural,No,Broadband,5,3,Yes,Public,Urban,,Yes,Computer
Hons or Grater,25,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,Yes,Private,Rural,Male,Yes,Mobile
Hons or Grater,24,Yes,Yes,No,Yes,Urban,No,Broadband,4,3,Yes,Private,Rural,Male,Yes,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,3,No,Public,Urban,Female,Yes,Computer
Upto HSC,22,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,No,Public,Rural,Male,No,Computer
Hons or Grater,21,Yes,Yes,No,No,,No,Broadband,5,4,Yes,Public,Urban,Male,Yes,Mobile
Upto HSC,26,Yes,No,Yes,No,Urban,No,Broadband,5,3,No,Public,Urban,Male,Yes,Computer
Hons or Grater,24,Yes,,No,Yes,Urban,Yes,Broadband,4,3,No,Private,Rural,Female,Yes,Computer
Hons or Grater,22,Yes,No,No,No,Rural,No,Broadband,5,3,No,Private,Rural,Male,Yes,Computer
Hons or Grater,22,No,Yes,No,No,Urban,Yes,Mobile Internet,6,4,Yes,Public,Rural,Female,Yes,Mobile
Hons or Grater,22,No,No,No,No,Urban,No,Mobile Internet,6,3,No,Private,Rural,,Yes,Computer
Hons or Grater,22,Yes,Yes,No,No,,Yes,Mobile Internet,5,4,Yes,Private,Rural,Male,Yes,Computer
Hons or Grater,22,Yes,No,Yes,Yes,Urban,No,Broadband,5,3,Yes,Private,Urban,Female,Yes,Computer
Hons or Grater,25,Yes,No,Yes,No,Urban,No,Mobile Internet,5,3,Yes,Public,Rural,Male,Yes,Mobile
Hons or Grater,22,Yes,Yes,No,No,Urban,No,Broadband,5,4,No,Private,Rural,Male,No,Computer
Hons or Grater,22,Yes,Yes,No,No,Urban,No,Broadband,4,4,Yes,Private,Urban,Female,,Computer
Upto HSC,22,Yes,No,Yes,Yes,Urban,No,Mobile Internet,4,2,No,Private,Urban,Female,Yes,Mobile
Hons or Grater,26,Yes,No,No,No,Urban,No,Broadband,3,3,No,Public,Urban,Male,Yes,Mobile
Hons or Grater,26,Yes,Yes,No,Yes,Rural,Yes,Broadband,5,3,No,Public,Urban,Female,Yes,Computer
Upto HSC,21,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,3,Yes,Private,Rural,Male,Yes,Computer
Upto HSC,18,Yes,No,No,No,Urban,No,Mobile Internet,4,2,No,Public,Rural,Female,Yes,Computer
Hons or Grater,25,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,3,No,Private,Urban,,Yes,Mobile
Hons or Grater,26,Yes,Yes,No,Yes,Urban,Yes,Broadband,6,2,Yes,,Rural,Female,Yes,Mobile
Hons or Grater,24,Yes,No,No,No,Urban,No,Mobile Internet,4,4,Yes,Public,Urban,Female,Yes,Computer
Hons or Grater,22,No,No,Yes,No,Urban,No,Mobile Internet,6,4,Yes,Private,Urban,Female,No,Computer
Upto HSC,21,Yes,No,No,Yes,Urban,No,Mobile Internet,5,3,Yes,Public,Urban,Male,Yes,Computer
Hons or Grater,26,Yes,No,No,No,Urban,No,Mobile Internet,3,2,No,Private,Rural,Female,Yes,Computer
Hons or Grater,25,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,3,Yes,Private,Rural,Male,Yes,Computer
Upto HSC,21,Yes,Yes,No,No,Urban,Yes,Broadband,3,3,Yes,,Urban,Male,Yes,Mobile
Hons or Grater,21,Yes,No,No,No,Urban,No,Mobile Internet,4,2,Yes,Public,Rural,Female,Yes,Computer
Hons or Grater,25,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,Yes,Private,Rural,Female,Yes,Computer
Hons or Grater,24,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Private,Rural,Male,Yes,Computer
Hons or Grater,26,Yes,Yes,No,No,Urban,Yes,Broadband,6,3,Yes,Private,Rural,Female,,Computer
Hons or Grater,,No,No,Yes,Yes,Urban,No,Mobile Internet,5,3,No,,Urban,Female,Yes,Computer
Hons or Grater,26,Yes,Yes,No,No,Rural,No,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Computer
Upto HSC,,Yes,No,Yes,Yes,Rural,No,Mobile Internet,4,4,No,Private,Urban,Male,Yes,Computer
Hons or Grater,23,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,4,No,Private,Rural,Male,Yes,Computer
Hons or Grater,22,Yes,No,No,Yes,Rural,No,Broadband,5,2,Yes,Private,Urban,Male,No,Computer
Hons or Grater,24,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Urban,Male,No,Mobile
Hons or Grater,23,,No,No,Yes,,No,Broadband,5,3,No,Private,Rural,Male,,Mobile
Upto HSC,24,,No,No,No,Urban,No,Mobile Internet,5,4,Yes,,Urban,Male,No,Computer
Hons or Grater,23,Yes,Yes,No,No,Rural,Yes,Broadband,3,3,No,Public,Urban,Female,Yes,Mobile
Upto HSC,21,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,2,Yes,Private,Rural,Female,No,Computer
Hons or Grater,25,No,No,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Urban,Female,Yes,Computer
Upto HSC,21,Yes,No,No,Yes,Rural,No,Broadband,6,3,No,Private,Urban,Male,Yes,Computer
Upto HSC,18,No,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Public,Urban,Male,Yes,Computer
Hons or Grater,24,Yes,No,No,No,Urban,No,Broadband,6,3,No,Private,Rural,Male,Yes,Computer
Upto HSC,18,Yes,No,No,No,Urban,No,Mobile Internet,5,2,Yes,Public,Rural,Female,No,Computer
Upto HSC,24,Yes,No,No,No,Urban,No,Mobile Internet,5,3,No,,Urban,Female,Yes,Computer
Hons or Grater,24,Yes,No,No,Yes,Urban,No,Broadband,5,3,No,Public,Rural,Female,Yes,Computer
Hons or Grater,25,Yes,No,No,No,Urban,No,Broadband,6,4,No,Private,Urban,Male,No,Computer
Upto HSC,26,No,No,No,No,Urban,No,Mobile Internet,4,2,Yes,Public,Urban,Male,Yes,Computer
Hons or Grater,23,Yes,No,Yes,Yes,,No,Broadband,5,4,Yes,,Urban,Female,Yes,Mobile
Hons or Grater,25,Yes,Yes,No,No,,Yes,Broadband,5,3,Yes,Public,Rural,Female,Yes,Computer
Upto HSC,21,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,2,Yes,Private,Urban,Male,,Mobile
Hons or Grater,25,Yes,No,Yes,Yes,Rural,No,Broadband,5,4,Yes,Private,Urban,Female,No,Computer
Hons or Grater,25,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,No,Public,Urban,Male,No,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,4,No,Public,Rural,Female,No,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,4,Yes,,,Female,No,Computer
Upto HSC,22,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,3,2,Yes,,Urban,Male,No,Computer
Hons or Grater,21,Yes,Yes,No,No,Rural,Yes,Mobile Internet,6,2,Yes,Private,Urban,Female,Yes,Computer
Upto HSC,26,Yes,No,No,No,Urban,No,Broadband,5,2,Yes,Private,Urban,Male,Yes,Computer
Hons or Grater,24,Yes,,No,No,,No,Broadband,4,2,No,Private,Rural,Male,Yes,Computer
Hons or Grater,22,Yes,No,Yes,Yes,,No,Broadband,3,2,Yes,Private,Rural,,Yes,Mobile
Hons or Grater,22,No,Yes,No,No,Rural,No,Broadband,6,3,No,Private,Urban,Female,Yes,Computer
Hons or Grater,25,Yes,No,No,Yes,Rural,No,Mobile Internet,5,3,Yes,Public,Urban,,No,Computer
Hons or Grater,24,Yes,No,Yes,Yes,Urban,No,Mobile Internet,4,3,Yes,Public,Urban,Female,Yes,Computer
Upto HSC,23,Yes,Yes,No,No,Rural,Yes,Mobile Internet,6,2,No,Private,Urban,Female,Yes,Mobile
Hons or Grater,23,Yes,No,Yes,No,Rural,No,Mobile Internet,6,2,Yes,Private,Urban,Male,Yes,Computer
Upto HSC,23,Yes,Yes,No,No,Rural,Yes,Mobile Internet,3,3,No,,Rural,Male,Yes,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Rural,Yes,Broadband,5,4,No,,,Male,Yes,Computer
Upto HSC,24,Yes,Yes,No,Yes,Urban,Yes,Broadband,4,2,No,Private,Rural,Female,Yes,Mobile
Hons or Grater,23,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,4,No,Private,Urban,Male,Yes,Computer
Upto HSC,25,No,Yes,No,No,Rural,No,Mobile Internet,3,2,No,Public,Urban,Male,,Computer
Upto HSC,18,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,No,Public,Rural,Female,Yes,Computer
Upto HSC,20,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,No,Public,Rural,Male,Yes,Mobile
Hons or Grater,23,Yes,Yes,No,No,Rural,No,Mobile Internet,4,3,Yes,Public,Urban,Female,No,Mobile
Hons or Grater,23,Yes,Yes,No,No,,No,Mobile Internet,4,4,Yes,Private,Rural,Male,Yes,Computer
Upto HSC,19,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Male,Yes,Computer
Hons or Grater,22,Yes,No,Yes,No,Rural,No,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Mobile
Hons or Grater,21,No,No,Yes,No,Urban,No,Broadband,4,2,Yes,Public,,Male,Yes,Computer
Hons or Grater,24,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,,Urban,Male,Yes,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Urban,No,Broadband,4,2,No,Private,,Male,No,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,3,2,No,Private,Urban,Male,No,Computer
Hons or Grater,24,Yes,No,No,No,Urban,No,Broadband,4,2,Yes,Private,Rural,Male,Yes,Computer
Hons or Grater,23,Yes,No,No,No,Urban,No,Mobile Internet,4,2,Yes,Private,Urban,Female,No,Mobile
Hons or Grater,23,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,Yes,Private,,Male,Yes,Mobile
Hons or Grater,23,Yes,No,Yes,No,Urban,No,Broadband,3,2,Yes,Private,Urban,Male,Yes,Mobile
Upto HSC,20,Yes,No,Yes,Yes,Urban,No,Broadband,6,4,No,Private,Urban,Male,No,Computer
Hons or Grater,24,Yes,No,Yes,No,,No,Broadband,5,2,No,Private,Rural,Male,Yes,Mobile
Hons or Grater,23,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,4,No,Private,Rural,Male,Yes,Mobile
Upto HSC,,Yes,,Yes,Yes,Urban,No,Mobile Internet,3,3,Yes,Private,Rural,Female,Yes,Computer
Hons or Grater,,,,No,No,Urban,Yes,Mobile Internet,5,2,No,Public,Rural,Female,Yes,Mobile
Upto HSC,,Yes,Yes,No,No,Urban,Yes,Broadband,5,3,No,Private,Urban,Female,No,Mobile
Upto HSC,,,,Yes,No,Urban,Yes,Broadband,4,3,Yes,Public,Urban,Female,No,Computer
Upto HSC,18,Yes,Yes,No,No,Rural,Yes,Broadband,5,4,Yes,Public,Urban,,Yes,Mobile
Hons or Grater,24,Yes,Yes,No,No,Rural,Yes,Mobile Internet,5,3,Yes,Private,Rural,Male,Yes,Computer
Upto HSC,24,Yes,No,No,Yes,Urban,No,Mobile Internet,3,3,No,Private,Urban,Male,Yes,Computer
Upto HSC,24,Yes,No,Yes,Yes,,No,Broadband,5,2,No,Private,Rural,Male,Yes,Computer
Upto HSC,25,Yes,No,No,No,Urban,No,Mobile Internet,5,4,No,,Rural,Male,No,Computer
Hons or Grater,25,Yes,Yes,No,No,Urban,No,Mobile Internet,5,2,No,Public,Urban,Female,Yes,Computer
Hons or Grater,24,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Rural,Female,Yes,Computer
Hons or Grater,25,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,Yes,Public,Rural,Female,Yes,Computer
Upto HSC,21,Yes,Yes,No,Yes,Rural,Yes,Mobile Internet,4,4,Yes,Private,Urban,Male,Yes,Computer
Upto HSC,18,Yes,No,No,No,Urban,No,Mobile Internet,4,2,No,Public,Urban,Female,Yes,Computer
Hons or Grater,25,Yes,Yes,No,Yes,,Yes,Broadband,3,2,No,Private,Rural,Male,Yes,Computer
Hons or Grater,24,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Private,Urban,Female,Yes,Mobile
Hons or Grater,26,Yes,Yes,No,No,Urban,No,Mobile Internet,5,2,No,Private,Urban,Female,No,Computer
Hons or Grater,25,Yes,No,Yes,No,Urban,No,Mobile Internet,4,4,Yes,Private,,Female,No,Mobile
Hons or Grater,26,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,,,Yes,Computer
Hons or Grater,22,Yes,No,Yes,No,Urban,No,Broadband,5,3,No,Private,Rural,Female,Yes,Mobile
Hons or Grater,23,Yes,Yes,No,No,Urban,No,Broadband,4,3,Yes,Private,Urban,Male,Yes,Computer
Upto HSC,18,No,No,No,No,Rural,No,Mobile Internet,3,3,No,Private,Rural,,Yes,Computer
Hons or Grater,24,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,4,Yes,Private,Urban,Female,Yes,Computer
Hons or Grater,22,Yes,No,No,No,Urban,No,Mobile Internet,4,3,Yes,Public,Urban,Male,Yes,Mobile
Hons or Grater,24,Yes,No,Yes,Yes,Urban,No,Broadband,4,3,Yes,Private,Urban,Male,Yes,Computer
Hons or Grater,23,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Public,Urban,Male,No,Computer
Upto HSC,21,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,Yes,Public,Urban,Male,No,Computer
Hons or Grater,22,No,No,No,No,Urban,No,Broadband,5,3,Yes,Private,Urban,Female,Yes,Computer
Hons or Grater,21,Yes,No,No,No,Rural,No,Broadband,4,4,No,Private,Rural,Male,No,Computer
Upto HSC,18,No,Yes,No,No,Urban,No,Mobile Internet,4,4,No,Private,Urban,Male,Yes,Computer
Hons or Grater,25,Yes,No,No,No,Urban,No,Broadband,4,3,No,Private,Rural,Female,Yes,Computer
Upto HSC,22,Yes,No,Yes,Yes,Urban,No,Mobile Internet,3,4,No,Private,Urban,Male,,Mobile
Upto HSC,26,Yes,No,Yes,No,Urban,No,Mobile Internet,4,3,Yes,,Urban,Female,Yes,Computer
Hons or Grater,22,Yes,No,Yes,No,Urban,No,Broadband,5,3,Yes,Private,Rural,Male,Yes,Computer
Hons or Grater,26,Yes,No,No,No,Rural,No,Broadband,4,2,Yes,Public,Rural,Female,Yes,Computer
Hons or Grater,21,Yes,No,No,Yes,Urban,No,Broadband,5,4,Yes,Private,Urban,Male,No,Computer
Hons or Grater,24,Yes,No,No,No,Urban,No,Broadband,5,3,Yes,,Urban,Female,Yes,Computer
Hons or Grater,25,Yes,Yes,No,No,Urban,No,Broadband,5,4,No,Private,Rural,Female,No,Computer
Upto HSC,21,Yes,Yes,No,No,Rural,No,Broadband,4,3,Yes,Private,Urban,Male,Yes,Mobile
Upto HSC,21,Yes,No,No,Yes,Rural,No,Mobile Internet,4,2,Yes,,Rural,Male,Yes,Computer
Hons or Grater,25,Yes,Yes,No,No,Urban,No,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Mobile
Hons or Grater,24,Yes,Yes,No,No,Urban,Yes,Mobile Internet,4,3,No,Private,Rural,Female,Yes,Computer
Hons or Grater,24,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Public,Rural,,No,Computer
Upto HSC,22,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,3,Yes,Public,,Male,No,Computer
Hons or Grater,21,Yes,Yes,No,No,Urban,Yes,Mobile Internet,5,4,No,Public,Rural,Female,No,Computer
Hons or Grater,21,Yes,No,Yes,No,Urban,No,Broadband,6,2,No,Public,Rural,Female,Yes,Mobile
Hons or Grater,24,Yes,,Yes,No,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Female,No,Computer
Hons or Grater,21,Yes,No,Yes,No,Rural,No,Broadband,3,3,Yes,Private,Urban,Male,Yes,Computer
Hons or Grater,22,No,Yes,No,Yes,Urban,No,Broadband,4,3,No,Private,Urban,Male,,Mobile
Hons or Grater,25,No,No,Yes,No,Urban,No,Broadband,5,3,No,Public,Rural,Female,,Mobile
Hons or Grater,23,,No,No,No,Urban,No,Mobile Internet,3,4,Yes,Private,Rural,Male,No,Mobile
Upto HSC,23,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,No,Public,Rural,,Yes,Computer
Upto HSC,22,Yes,No,No,No,Urban,No,Broadband,3,4,Yes,Private,Rural,Male,No,Computer
Upto HSC,23,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,4,No,Private,Urban,Male,Yes,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Urban,No,Broadband,5,4,Yes,Public,Urban,Male,Yes,Computer
Upto HSC,24,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,Yes,Private,Urban,Female,Yes,Computer
Hons or Grater,23,Yes,Yes,No,No,Urban,No,Mobile Internet,5,2,No,Public,Urban,,No,Computer
Upto HSC,25,No,Yes,No,No,,No,Mobile Internet,4,4,Yes,Private,Urban,Female,No,Mobile
Upto HSC,18,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,5,3,No,Private,Rural,Female,No,Computer
Upto HSC,20,Yes,Yes,No,No,Rural,Yes,Broadband,6,2,Yes,Public,Urban,Male,Yes,Mobile
Hons or Grater,23,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,3,No,Public,Rural,Male,Yes,Computer
Hons or Grater,23,Yes,Yes,No,No,Urban,No,Broadband,5,4,No,Private,Urban,,Yes,Computer
Upto HSC,19,Yes,Yes,No,No,Urban,No,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Computer
Upto HSC,26,Yes,No,No,Yes,Urban,No,Broadband,6,2,No,Private,,Female,Yes,Computer
Upto HSC,26,Yes,No,No,No,Urban,No,Mobile Internet,5,3,No,Private,Urban,Female,Yes,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Male,Yes,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,2,Yes,Private,Urban,Female,Yes,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Urban,Yes,Broadband,5,2,No,Public,Urban,Female,Yes,Mobile
Hons or Grater,23,No,No,No,Yes,Urban,No,Broadband,3,4,Yes,Private,Urban,Male,No,Mobile
Hons or Grater,24,Yes,No,No,No,Urban,No,Mobile Internet,5,2,No,Public,Urban,,Yes,Mobile
Hons or Grater,25,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,Yes,Private,Rural,Male,Yes,Computer
Upto HSC,21,Yes,Yes,No,No,Urban,Yes,Mobile Internet,3,2,Yes,Private,Urban,Male,No,Computer
Hons or Grater,25,Yes,No,Yes,No,Urban,No,Mobile Internet,3,3,Yes,Private,Urban,Female,No,Computer
Hons or Grater,25,Yes,Yes,No,No,Urban,Yes,Mobile Internet,6,3,Yes,Private,Urban,Male,No,Computer
Hons or Grater,24,Yes,Yes,No,Yes,,Yes,Broadband,5,4,No,Private,,Male,Yes,Mobile
Hons or Grater,26,Yes,Yes,No,Yes,Urban,No,Mobile Internet,5,4,Yes,,Rural,Female,Yes,Mobile
Hons or Grater,22,Yes,No,No,No,Urban,No,Broadband,6,3,No,Private,Urban,Female,No,Mobile
Hons or Grater,26,Yes,Yes,No,No,Urban,Yes,Broadband,4,3,Yes,Private,Urban,Male,Yes,Computer
Hons or Grater,25,Yes,No,Yes,Yes,Urban,No,Mobile Internet,4,3,Yes,Public,Rural,,Yes,Computer
Hons or Grater,23,Yes,Yes,No,Yes,,No,Mobile Internet,5,2,Yes,,Rural,Male,,Computer
Upto HSC,,Yes,No,No,No,Urban,No,Mobile Internet,5,2,Yes,Private,Urban,Female,No,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Urban,No,Broadband,4,2,No,Public,Urban,Male,No,Computer
Hons or Grater,22,Yes,No,Yes,No,Urban,No,Mobile Internet,3,3,No,Private,Rural,Male,Yes,Computer
Hons or Grater,25,Yes,No,No,No,,No,Mobile Internet,6,3,No,Private,Rural,Female,Yes,Computer
Hons or Grater,23,Yes,Yes,No,Yes,Urban,Yes,Broadband,3,4,No,Public,Rural,Male,Yes,Mobile
Upto HSC,21,Yes,Yes,No,No,Urban,Yes,Broadband,4,4,No,Private,Urban,Female,Yes,Computer
Upto HSC,20,Yes,No,No,Yes,Urban,No,Broadband,3,2,Yes,Public,,Female,,Computer
Hons or Grater,22,Yes,No,Yes,Yes,Urban,No,Mobile Internet,5,3,Yes,Public,Rural,Female,,Computer
Upto HSC,18,No,Yes,No,No,,No,Mobile Internet,5,4,No,Private,Urban,Male,Yes,Mobile
Hons or Grater,24,Yes,No,Yes,Yes,Urban,No,Broadband,5,4,No,Private,,Female,Yes,Computer
Hons or Grater,22,Yes,No,No,No,Urban,No,Mobile Internet,5,4,No,Public,,Male,,Computer
Upto HSC,20,Yes,No,No,Yes,Rural,No,Mobile Internet,4,3,Yes,Private,Rural,Male,Yes,Mobile
Hons or Grater,22,Yes,No,Yes,Yes,Rural,No,Broadband,4,3,Yes,Public,Urban,Female,Yes,Computer
Upto HSC,18,Yes,No,Yes,No,Urban,No,Mobile Internet,3,4,Yes,Public,Urban,Female,,Computer
Hons or Grater,24,Yes,No,No,No,Urban,No,Mobile Internet,5,3,Yes,Private,Rural,Male,Yes,Mobile
Hons or Grater,21,Yes,No,No,No,Urban,No,Mobile Internet,6,3,Yes,Public,Rural,Female,Yes,Computer
Hons or Grater,25,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,No,Private,Rural,,Yes,Mobile
Upto HSC,21,Yes,Yes,No,No,Urban,No,Mobile Internet,5,3,Yes,Public,,Male,No,Mobile
Hons or Grater,24,Yes,No,No,No,Urban,No,Mobile Internet,4,3,No,Public,Urban,Female,Yes,Computer
Hons or Grater,25,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,3,Yes,Public,Urban,,Yes,Computer
Hons or Grater,24,Yes,Yes,No,No,Rural,Yes,Mobile Internet,4,3,Yes,Private,Rural,Female,Yes,Computer
Hons or Grater,24,Yes,Yes,No,Yes,Urban,Yes,Mobile Internet,4,3,Yes,Private,Urban,Female,No,Mobile
Upto HSC,22,Yes,Yes,No,No,Urban,Yes,Broadband,4,2,No,Private,,Male,No,Computer
Hons or Grater,21,Yes,Yes,No,No,Rural,No,Mobile Internet,5,2,Yes,,,Male,Yes,Computer
Hons or Grater,25,Yes,No,Yes,No,Rural,No,Mobile Internet,5,3,No,Private,Urban,Female,No,Mobile
Hons or Grater,24,Yes,,Yes,Yes,,Yes,Broadband,5,2,Yes,Public,Urban,Female,Yes,Mobile
Hons or Grater,26,Yes,No,No,No,Urban,No,Broadband,4,3,No,Private,Rural,Female,No,Mobile
Hons or Grater,22,No,Yes,No,No,Urban,Yes,Broadband,5,4,No,Private,Urban,Female,Yes,Mobile
Hons or Grater,23,Yes,No,No,No,Urban,No,Broadband,4,4,Yes,Private,Rural,Female,No,Computer
Hons or Grater,22,Yes,No,Yes,No,Urban,No,Mobile Internet,5,2,No,Private,Urban,Male,No,Computer
Upto HSC,23,Yes,Yes,No,Yes,Rural,No,Mobile Internet,5,4,Yes,,Rural,Male,Yes,Computer
Hons or Grater,26,Yes,No,Yes,No,Urban,No,Mobile Internet,5,4,Yes,Private,Rural,Female,Yes,Mobile
